thetacrank,Fx,Fy,sigmax1,sigmay1,tauxy1,sigma11,sigmax2,sigmay2,tauxy2,sigma12,sigmax3,sigmay3,tauxy3,sigma13,sigmax4,sigmay4,tauxy4,sigma14
3.839724354387525,-88.682551645068,-567.9748181213353,-1596285.9296112242,-681569.7817456023,-88682.551645068,-673051.2596169554,0.0,-646316.1723449676,-177365.10329013603,45473.88276643376,-5186114.131290527,-532119.1660429263,-39.90714824028059,-532119.1657007295,0.0,-631083.1312459281,-197072.33698904002,56485.295829422306
3.8714576135146945,-93.07389512467724,-574.1272142835894,-1675330.1122441902,-688952.6571403074,-93073.89512467723,-680247.1020609536,0.0,-653317.1748744291,-186147.79024935447,49315.92308337119,-5442917.843548377,-537883.1679151448,-41.88325280610476,-537883.167557511,0.0,-637919.1269817661,-206830.8780548383,61190.69003952044
3.903190872641864,-97.52014170693846,-580.6905761416916,-1755362.5507248924,-696828.6913700299,-97520.14170693845,-687919.3851463242,0.0,-660785.828023304,-195040.2834138769,53273.85518171493,-5702932.263563653,-544032.1916516605,-43.8840637681223,-544032.1912783622,0.0,-645211.7512685462,-216711.4260154188,66030.70673979062
3.934924131769034,-102.02523037157268,-587.6859155891666,-1836454.146688308,-705223.0987069999,-102025.23037157269,-696095.1419937883,0.0,-668746.0418773274,-204050.46074314535,57343.59558549902,-5966387.741027643,-550585.9226872895,-45.9113536672077,-550585.9222980854,0.0,-652984.3506546295,-226722.7341590504,71000.38904907386
3.9666573908962035,-106.59331686823667,-595.1358814344535,-1918679.7036282602,-714163.0577213442,-106593.31686823667,-704802.8535129087,0.0,-677223.5892185159,-213186.63373647333,61521.293565653556,-6233527.302236063,-557565.5800350481,-47.9669925907065,-557565.5796296834,0.0,-661262.0904827261,-236874.03748497038,76095.14977418719
3.998390650023373,-111.22878686532438,-603.0648810529381,-2002118.1635758393,-723677.8572635256,-111228.78686532438,-714072.7279063447,0.0,-686246.2439567915,-222457.57373064876,65803.33711459092,-6504607.419024818,-564994.0302584193,-50.05295408939597,-564994.0298366239,0.0,-670072.0900588201,-247175.08192294306,81310.77265094942
4.030123909150543,-115.93626965926407,-611.499214049931,-2086852.8538667532,-733799.0568599172,-115936.26965926407,-723936.9526679541,0.0,-695843.9332292316,-231872.5393185281,70186.35588447558,-6779898.81048328,-572895.9126963295,-52.17132134666882,-572895.9122578176,0.0,-679443.57116659,-257636.15479836462,86643.40982926346
4.0618571682777125,-120.72065247296919,-620.4672191550803,-2172971.7445134455,-744560.6629860965,-120720.65247296919,-734429.9348863155,0.0,-706048.9045557809,-241441.3049459384,74667.2212909343,-7059687.279121006,-581297.7770842703,-54.324293612836136,-581297.7766287359,0.0,-689408.0212834226,-268268.1166065982,92089.57601007598
4.093590427404882,-125.58709537068877,-629.9994357089735,-2260567.7166723977,-755999.3228507681,-125587.09537068877,-745588.5404642257,0.0,-716895.9095998661,-251174.19074137753,79243.0439592838,-7344274.583081216,-590228.2348464216,-56.51419291680995,-590228.2343735415,0.0,-699999.3730099705,-279082.4341570862,97646.13957701041
4.1253236865320515,-130.54104681408913,-640.1287812595036,-2349738.842653604,-768154.5375114044,-130541.04681408912,-757452.3398395648,0.0,-728422.4062608143,-261082.09362817826,83911.16865990142,-7633979.345853167,-599718.125480547,-58.7434710663401,-599718.1249899771,0.0,-711254.2013994484,-290091.2151424203,103310.31099701003
4.157056945659221,-135.58825988101916,-650.8907469610431,-2440588.677858345,-781068.8963532516,-135588.25988101916,-770063.8660254522,0.0,-740668.7810246351,-271176.5197620383,88669.16684468254,-7929138.004737963,-609800.6996218223,-61.014716946458606,-609800.6991131976,0.0,-723211.9410678257,-301307.2441800426,109079.62869464315
4.188790204786391,-140.73480916352798,-662.323612665798,-2533226.5649435036,-794788.3351989576,-140734.80916352797,-783468.8897743901,0.0,-753678.5937231493,-281469.61832705594,93514.82685831422,-8230105.799036725,-620511.8205557003,-63.33066412358759,-620511.8200286324,0.0,-735915.12518422,-312744.0203633955,114951.94253466476
4.22052346391356,-145.98710835521732,-674.4686838165313,-2627767.9503939124,-809362.4205798375,-145987.10835521732,-797716.7161280345,0.0,-767498.8471015699,-291974.21671043464,98446.14185730915,-8537257.798550721,-631890.186155845,-65.6941987598478,-631890.1856099204,0.0,-749409.6486850348,-324415.7963449274,120925.39497796574
4.25225672304073,-151.35192852927005,-687.3705524958888,-2724334.713526861,-824844.6629950665,-151351.92852927005,-812860.5063771815,0.0,-782180.2838746319,-302703.8570585401,103461.2954265512,-8850989.972471934,-643977.5734536889,-68.10836783817152,-643977.5728884712,0.0,-763745.0583287653,-336337.6189539335,126998.39990703092
4.2839899821679,-156.83641709713513,-701.0773852630575,-2823055.5077484325,-841292.862315669,-156836.41709713513,-828957.6294290079,0.0,-797777.7142648583,-313672.83419427025,108558.64483785507,-9171720.298078079,-656819.1083042667,-70.5763876937108,-656819.1077192882,0.0,-778974.8725145084,-348525.37132696697,133169.61904846813
4.3157232412950695,-162.44811742321488,-715.6412407168317,-2924066.113617868,-858769.4888601981,-162448.1174232149,-846070.046703155,0.0,-814350.377367429,-324896.2348464298,113736.7018476929,-9499889.907790344,-670463.5629018585,-73.10165284044669,-670463.5622966262,0.0,-795156.934129813,-360995.8164960331,139437.93585153937
