step,Fx,Fy
247.0,9844.429362014365,-40081.51527169861
248.0,9522.531165917875,-38646.506936817525
249.0,9211.911921552533,-37305.976095382655
250.0,8911.991024077628,-36052.81229696748
251.0,8622.209112065033,-34880.52062245609
252.0,8342.028800432392,-33783.16354586641
253.0,8070.935026032901,-32755.308545122392
254.0,7808.435090334082,-31791.98090738823
255.0,7554.058467649762,-30888.621219225857
256.0,7307.35643428824,-30041.047075752966
257.0,7067.901563252793,-29245.418585165065
258.0,6835.287120349599,-28498.20728482803
259.0,6609.126390387062,-27796.168122301104
260.0,6389.051956297454,-27136.31418896584
261.0,6174.714949243075,-26515.893925387507
262.0,5965.784283892601,-25932.370546200043
263.0,5761.94588990491,-25383.403458300254
264.0,5562.901948109047,-24866.83146963002
265.0,5368.3701378110445,-24380.657606989033
266.0,5178.082900000677,-23923.03538034639
267.0,4991.786719902343,-23492.256348187697
268.0,4809.241431253118,-23086.73885372684
269.0,4630.21954384828,-22705.01781549697
270.0,4454.5055952296625,-22345.73546807368
271.0,4281.8955268721365,-22007.632959619863
272.0,4112.196084819876,-21689.542722712777
273.0,3945.224244415754,-21390.38154364227
274.0,3780.806658535623,-21109.144263164828
275.0,3618.779128566711,-20844.89804866208
276.0,3458.986097249372,-20596.77718387632
277.0,3301.2801624159383,-20363.97832795773
278.0,3145.521610609652,-20145.756200533433
279.0,2991.577969536525,-19941.419653959594
280.0,2839.323578293105,-19750.32809790513
281.0,2688.6391743168056,-19571.888244987298
282.0,2539.4114960194315,-19405.55114938428
283.0,2391.532900086462,-19250.80951322725
284.0,2244.9009924515294,-19107.195238161436
285.0,2099.4182719858986,-18974.277201793466
286.0,1954.9917859762604,-18851.659240842197
287.0,1811.53279649582,-18738.978324705364
288.0,1668.956456809575,-18635.902904869607
289.0,1527.181496984928,-18542.131427146734
290.0,1386.1299179126386,-18457.39099513258
291.0,1245.7266929713555,-18381.436174573755
292.0,1105.899476599047,-18314.047929506174
293.0,966.5783190578073,-18255.032682111454
294.0,827.6953867069236,-18204.221489234475
295.0,689.1846871153814,-18161.46932943
296.0,550.9817983678591,-18126.65449526618
297.0,413.02360193558235,-18099.678086420023
298.0,275.2480184921858,-18080.463599860163
299.0,137.59374607601498,-18068.956614135837
300.0,0.0,-18065.124565483908
301.0,-0.0,-509.31500099997726
302.0,-3.87828299550709,-509.3002347973282
303.0,-7.752660888791366,-509.255993084765
304.0,-11.619232509725865,-509.1824463583675
305.0,-15.474104548438417,-509.0798781449045
306.0,-19.31339547555996,-508.9486840525393
307.0,-23.133239450558968,-508.7893704433397
308.0,-26.929790214355286,-508.6025527291597
309.0,-30.699224962146438,-508.38895329297856
310.0,-34.43774819265947,-508.1493990383397
311.0,-38.141595529907896,-507.88481857015546
312.0,-41.80703751358242,-507.596239010835
313.0,-45.430383354310344,-507.2847824564494
314.0,-49.007984649969515,-506.9516620785015
315.0,-52.536239059315704,-506.59817787780213
316.0,-56.0115939292344,-506.2257120979864
317.0,-59.43054987196618,-505.8357243073314
318.0,-62.789664288689636,-505.42974615877176
319.0,-66.08555483592659,-505.00937583933484
320.0,-69.31490283127519,-504.57627222165104
321.0,-72.47445659504562,-504.13214873171864
322.0,-75.56103472442179,-503.6787669487186
323.0,-78.57152929686522,-503.2179299543675
324.0,-81.50290899952995,-502.75147545106336
325.0,-84.35222218153817,-502.28126866989896
326.0,-87.11659982604078,-501.8091950914773
327.0,-89.79325843907668,-501.337153004343
328.0,-92.37950285231288,-500.86704592772554
329.0,-94.87272893685261,-500.4007749271391
330.0,-97.27042622536894,-499.940230853191
331.0,-99.57018043993793,-499.48728653566855
332.0,-101.76967592300645,-499.0437889665927
333.0,-103.86669796906624,-498.61155150739296
334.0,-105.85913505467447,-498.1923461566657
335.0,-107.7449809645766,-497.7878959160717
336.0,-109.5223368117995,-497.3998672927945
337.0,-111.18941294966332,-497.0298629775842
338.0,-112.74453077380967,-496.67941473771623
339.0,-114.18612441241153,-496.3499765641982
340.0,-115.51274230287373,-496.04291811221003
341.0,-116.72304865343229,-495.7595184730751
342.0,-117.81582478818666,-495.5009603149989
343.0,-118.78997037419839,-495.26832442838895
344.0,-119.64450452943852,-495.06258470976377
345.0,-120.37856681044764,-494.88460361610504
346.0,-120.99141807873286,-494.7351281189806
347.0,-121.48244124501612,-494.61478618492396
348.0,-121.85114189059101,-494.52408380539555
349.0,-122.0971487651613,-494.4634025962133
350.0,-122.22021416065711,-494.43299798266895
351.0,-122.2202141606569,-494.432997982669
352.0,-122.0971487651613,-494.4634025962133
353.0,-121.85114189059101,-494.52408380539555
354.0,-121.48244124501612,-494.61478618492396
355.0,-120.99141807873264,-494.73512811898064
356.0,-120.37856681044741,-494.8846036161051
357.0,-119.64450452943852,-495.06258470976377
358.0,-118.78997037419863,-495.2683244283889
359.0,-117.81582478818618,-495.500960314999
360.0,-116.72304865343229,-495.7595184730751
361.0,-115.5127423028735,-496.0429181122101
362.0,-114.18612441241177,-496.34997656419813
363.0,-112.74453077380993,-496.6794147377162
364.0,-111.18941294966332,-497.0298629775842
365.0,-109.52233681180002,-497.3998672927944
366.0,-107.74498096457687,-497.78789591607165
367.0,-105.85913505467474,-498.1923461566656
368.0,-103.86669796906651,-498.6115515073929
369.0,-101.76967592300645,-499.0437889665927
370.0,-99.57018043993764,-499.4872865356686
371.0,-97.2704262253695,-499.9402308531909
372.0,-94.87272893685231,-500.40077492713914
373.0,-92.3795028523132,-500.8670459277255
374.0,-89.79325843907698,-501.33715300434295
375.0,-87.11659982604044,-501.80919509147736
376.0,-84.35222218153784,-502.281268669899
377.0,-81.50290899953029,-502.7514754510633
378.0,-78.57152929686522,-503.2179299543675
379.0,-75.56103472442253,-503.6787669487185
380.0,-72.47445659504642,-504.13214873171853
381.0,-69.31490283127559,-504.576272221651
382.0,-66.08555483592659,-505.00937583933484
383.0,-62.789664288689636,-505.42974615877176
384.0,-59.43054987196666,-505.83572430733136
385.0,-56.01159392923492,-506.22571209798633
386.0,-52.53623905931461,-506.59817787780224
387.0,-49.007984649969515,-506.9516620785015
388.0,-45.430383354310344,-507.2847824564494
389.0,-41.807037513581044,-507.5962390108351
390.0,-38.141595529907896,-507.88481857015546
391.0,-34.43774819266115,-508.1493990383396
392.0,-30.69922496214457,-508.38895329297867
393.0,-26.929790214355286,-508.6025527291597
394.0,-23.13323945056021,-508.78937044333964
395.0,-19.31339547555847,-508.94868405253936
396.0,-15.474104548440277,-509.07987814490446
397.0,-11.619232509723387,-509.18244635836754
398.0,-7.752660888787653,-509.25599308476507
399.0,-3.8782829955145157,-509.30023479732813
400.0,-0.0,-509.31500099997726
